full_name,positions,overall_rating,age,acceleration,sprint_speed,dribbling,short_passing,finishing,stamina,strength,embedding
Lionel Andres Messi Cuccittini,"CF,RW,ST",94,31,91,86,97,92,95,72,66,"[1.3631260395050049, 0.8006435632705688, -0.05181844159960747, 0.22745618224143982, -0.05216381326317787, -0.33051061630249023, 0.6156299114227295, -0.16832366585731506, -0.43770724534988403, 0.7033483386039734, -0.4389844834804535, 0.08548635989427567, -0.548703134059906, -0.29601550102233887, 0.2898355722427368, 0.48625919222831726, -0.18945486843585968, -0.59518963098526, 0.19295693933963776, -0.4391603171825409, -0.10579206049442291, 0.3260514438152313, 0.21945582330226898, 0.746059775352478, 0.4758860468864441, 0.1134381890296936, -0.24079914391040802, 0.21102026104927063, 0.12785284221172333, -0.35883215069770813, 0.18856976926326752, 0.31449243426322937, -0.18109789490699768, -0.19814711809158325, 0.8562044501304626, 0.403535932302475, -0.3405938148498535, -0.3329451382160187, -0.533704936504364, 0.1825723648071289, 0.7698968052864075, 0.16938473284244537, 0.2781826853752136, 0.9279271960258484, 0.3352946639060974, -0.2093522846698761, 0.43589910864830017, 0.9501082897186279, 0.8248040676116943, 0.6050330996513367, 0.5811167359352112, -0.022634821012616158, 0.4220700263977051, 0.007772486656904221, -0.30945226550102234, -0.47622042894363403, -0.2624463140964508, -0.48994940519332886, 0.6827863454818726, 0.08677137643098831, 0.28834348917007446, -0.07669013738632202, 0.009401565417647362, 0.23228764533996582]"
Christian Dannemann Eriksen,"CAM,RM,CM",88,27,76,73,84,91,81,92,58,"[0.9104937314987183, 0.29437825083732605, -0.393484890460968, 0.3104877769947052, -0.281840056180954, 0.02526187151670456, 0.07000923901796341, 0.3589586913585663, 0.030609795823693275, 0.15272127091884613, 0.3713724911212921, -0.3344241678714752, 0.3145511746406555, 0.04641372710466385, 0.032400064170360565, -0.17755268514156342, 1.1424428224563599, -0.4617667496204376, 0.889121413230896, -0.4594118595123291, -0.3180133104324341, 0.5672479271888733, -0.4291866421699524, 0.9779046773910522, 0.23847956955432892, 0.3068893253803253, -0.00982169434428215, -0.19786286354064941, -0.6739965081214905, -0.006750830914825201, 0.266882061958313, -0.12534281611442566, -0.0886688083410263, -0.3009512424468994, 0.24973978102207184, -0.0018858062103390694, -0.13098673522472382, 0.08625081926584244, 0.11463169753551483, -0.45489799976348877, -0.017403436824679375, 0.4853588044643402, -0.5492072701454163, 0.16803035140037537, 0.399858683347702, 0.07194729149341583, 0.17445164918899536, -0.054411135613918304, 0.4969589412212372, -0.055951304733753204, -0.1695292592048645, -0.04521232470870018, 0.2121533751487732, 0.14440539479255676, 0.10538322478532791, -0.9366812109947205, 1.3850808143615723, 0.2702138423919678, 0.1385873258113861, 0.6960487961769104, 0.005895144771784544, -0.20991426706314087, 0.06905815750360489, 0.07997559756040573]"
Paul Pogba,"CM,CAM",88,25,71,79,87,86,75,88,87,"[1.2700470685958862, 0.9570309519767761, 1.4060776233673096, 0.005000253673642874, 0.24077582359313965, -0.16395458579063416, 0.013899062760174274, -0.05028149485588074, -0.14033553004264832, -0.3564204275608063, -0.15481361746788025, 0.5593663454055786, -0.26027655601501465, 0.11466745287179947, -0.1710090935230255, -0.4183814823627472, -0.05628783628344536, -0.11740453541278839, 0.33750486373901367, -0.3766375482082367, 0.29493480920791626, 0.3844349980354309, -0.03744971752166748, 0.18529567122459412, 0.33498525619506836, 0.1032576635479927, -0.4227960705757141, 0.32123443484306335, -0.6497095823287964, 0.21172024309635162, -0.3435684144496918, 0.11885401606559753, -0.4330289661884308, 0.048116061836481094, 0.11848445236682892, 0.014353363774716854, -0.2192719727754593, -0.6734088063240051, -0.6806389093399048, -0.47880426049232483, 0.14263145625591278, 0.15852387249469757, -0.12305238097906113, 0.17693443596363068, 0.1532907485961914, -0.27719607949256897, 0.10471280664205551, -0.22121350467205048, 0.5688636898994446, 0.8796221613883972, -0.5752975344657898, -0.6635195016860962, 0.5007960200309753, -0.08215184509754181, 0.5471818447113037, -0.7491940259933472, 0.8356003165245056, 0.28975000977516174, 0.8863041400909424, 0.1889130026102066, -0.17421689629554749, -0.8792272210121155, -0.33881762623786926, -0.6332519054412842]"
Lorenzo Insigne,"LW,ST",88,27,94,86,90,85,77,75,44,"[0.8652194738388062, 0.5554653406143188, 0.4958832263946533, -0.07608481496572495, -0.12174902111291885, 0.3304971754550934, 0.4867762625217438, 0.08115050941705704, -0.6908332705497742, 0.3008359670639038, -0.6508132815361023, 1.0680071115493774, -0.13746869564056396, 0.24695728719234467, 0.09253035485744476, 0.5242798328399658, 0.8500170707702637, -0.4070778489112854, 0.6734544634819031, 0.5304254293441772, -0.34612807631492615, 0.2562544345855713, -0.4815082252025604, 0.44820186495780945, 0.7276188731193542, -0.0975368395447731, 0.10669997334480286, 0.38671427965164185, -0.29555195569992065, 0.20782890915870667, 0.0036182142794132233, 0.17771746218204498, -0.4487367272377014, -0.35649025440216064, -0.2998793423175812, -0.2735154926776886, -0.008688511326909065, 0.8987728953361511, 0.5248228311538696, 0.749609649181366, 0.20421746373176575, 0.5809433460235596, 0.03470700979232788, 0.9354469180107117, 0.4437091052532196, 0.06405147910118103, 0.3658979535102844, 0.6450586318969727, 1.060158371925354, -0.043856509029865265, 0.24085751175880432, -1.154697299003601, 0.012799939140677452, -0.6632640361785889, -0.13862769305706024, -0.43617385625839233, -0.025328857824206352, 0.1913086175918579, -0.17558716237545013, 0.2583216428756714, -0.12719754874706268, -0.022337663918733597, -0.6543012261390686, 0.7698439359664917]"
Kalidou Koulibaly,CB,88,27,70,75,69,68,22,75,94,"[1.8860256671905518, 0.053665220737457275, 0.4454343318939209, 0.044790271669626236, -0.03742804005742073, 1.0052210092544556, 0.5081855654716492, 0.11932595074176788, -0.43710288405418396, -0.1039704754948616, 0.3150538206100464, 0.23508433997631073, -0.6794784069061279, 0.6286755800247192, 0.3629930317401886, -0.44679129123687744, -0.45888450741767883, -0.3265497088432312, -0.13793283700942993, 1.1679409742355347, -0.2963900566101074, -0.41661807894706726, 0.5228041410446167, 0.11546758562326431, 0.03698035702109337, 0.4332469701766968, 0.6628215909004211, 0.12713618576526642, -0.8723174929618835, 0.08338014036417007, 1.0721884965896606, 0.13722291588783264, -0.222368985414505, -0.1505260020494461, 0.692567765712738, 0.27852192521095276, 0.15497499704360962, -0.15606804192066193, -0.3052785098552704, -0.7812517881393433, 0.08324973285198212, 1.054869532585144, -0.34425264596939087, 0.8011277318000793, 0.22050561010837555, -0.9899045825004578, 1.0545443296432495, -0.16263814270496368, 0.5019067525863647, 0.7002075910568237, 0.7892839908599854, -0.005088450387120247, 0.6530672311782837, -0.8702090382575989, -0.17983096837997437, 0.460857629776001, -0.19528354704380035, -0.2817912697792053, 0.23897068202495575, 0.40755695104599, -0.5220193266868591, 0.3040634095668793, 0.6270791292190552, -0.08023923635482788]"
Virgil van Dijk,CB,88,27,74,77,70,79,52,75,92,"[1.0138005018234253, 0.33412685990333557, 0.5771780610084534, 0.004060778766870499, -0.458692729473114, 0.19381068646907806, 0.4404102563858032, 0.2550841271877289, 0.6637266874313354, 0.8117914199829102, -0.6010240912437439, 0.14251162111759186, -0.20967884361743927, 0.15485018491744995, 0.7481231689453125, -0.5080808997154236, 0.09717997908592224, 0.1361561268568039, 1.2832359075546265, 0.48943498730659485, -0.19700048863887787, -0.3616746962070465, 0.6030504107475281, -0.2584760785102844, 0.6683249473571777, 0.26439017057418823, 0.41818004846572876, -0.03166288882493973, -0.7203642725944519, 0.6391870975494385, 1.0224050283432007, 0.29606154561042786, -0.25747543573379517, 0.20326560735702515, -0.4170873463153839, 0.049054231494665146, -0.19324901700019836, 0.5222165584564209, -0.7477756142616272, 0.5411471128463745, -0.20997855067253113, 0.7110801935195923, -0.29277440905570984, 0.3360952138900757, -0.31375405192375183, -0.759411633014679, 0.7316081523895264, -0.011787127703428268, 0.7672203183174133, -0.14729155600070953, 0.025476453825831413, 0.13929840922355652, 0.3675796687602997, 0.0656728595495224, 0.34350576996803284, -0.3374623954296112, 0.27329543232917786, 0.38290032744407654, -0.10748989135026932, 0.1510826051235199, 0.2046232372522354, 0.13878299295902252, 0.8109998106956482, -0.26433831453323364]"
Kylian Mbappe,"RW,ST,RM",88,20,96,96,90,82,88,83,71,"[0.6480534672737122, 0.3094482421875, 1.0958250761032104, -0.1810896098613739, -0.11619972437620163, -0.3796525001525879, -0.19011665880680084, -0.7770851254463196, -0.5498332977294922, 0.34589558839797974, -0.3442617654800415, -0.009531069546937943, -0.638146698474884, 0.20473763346672058, 0.7147784233093262, -0.32885974645614624, -0.02698449231684208, -0.2899177074432373, 0.8562677502632141, -0.22504232823848724, -0.25114747881889343, 0.565487802028656, -0.5956482291221619, 0.43928876519203186, 0.27692586183547974, -0.013393248431384563, -0.1901528239250183, 0.15930020809173584, -0.41001468896865845, 0.04571358114480972, 0.05446762964129448, 0.7395010590553284, 0.3824712634086609, 0.1814410239458084, -0.01932970993220806, 0.2652819752693176, -0.17029155790805817, 0.7760414481163025, 0.1759413629770279, -0.1405724734067917, 0.35726675391197205, 0.603674054145813, -0.1936645358800888, 1.3320673704147339, 0.39377108216285706, -0.30264338850975037, -0.5850439071655273, -0.5283789038658142, 1.1762665510177612, 0.45371049642562866, -0.04293571412563324, -0.674959659576416, 0.07099878042936325, 0.557541012763977, -0.07372812181711197, -0.27801111340522766, 0.7522277235984802, -0.28911685943603516, 0.5684586763381958, 0.07616004347801208, -0.08493024110794067, 0.3242173492908478, -0.659302294254303, -0.2864808440208435]"
Sergio Leonel Aguero del Castillo,ST,89,30,88,80,89,81,93,76,73,"[1.5382516384124756, 1.0538809299468994, -0.21293491125106812, -0.044591110199689865, -0.22349964082241058, -0.0819486603140831, 0.6445820331573486, 0.08926162123680115, -0.36309951543807983, 0.5965880155563354, -0.582189679145813, -0.02675916813313961, 0.11730694770812988, -0.29026228189468384, 0.20541761815547943, 0.3562912940979004, -0.04236124828457832, -0.6161829829216003, 0.4991110563278198, -0.5172803401947021, -0.25031059980392456, 0.06763496994972229, -0.19329780340194702, 0.7233622074127197, 0.492294043302536, 0.7602313756942749, -0.28906580805778503, 0.17217214405536652, 0.14186592400074005, 0.10120922327041626, -0.21727673709392548, -0.13092724978923798, 0.015385173261165619, -0.14751474559307098, 0.9788613319396973, 0.13713186979293823, -0.10236740857362747, -0.20754994451999664, -0.5973424315452576, -0.42045843601226807, 0.5052870512008667, 0.16615842282772064, 0.1386953741312027, 0.5716529488563538, 0.7130944132804871, -0.17644433677196503, 0.27025750279426575, 0.3629767596721649, 0.8957951664924622, 0.5416521430015564, 0.47810885310173035, 0.25681036710739136, 0.3651141822338104, -0.35572052001953125, -0.693998396396637, -0.6916755437850952, 0.12264290452003479, -0.3820163607597351, 0.890853762626648, -0.0406317263841629, 0.25315630435943604, -0.5669906735420227, 0.030873259529471397, 0.2244529128074646]"
Manuel Neuer,GK,89,32,54,60,30,55,13,43,80,"[1.7548280954360962, 0.34031617641448975, 0.7453590631484985, -0.5092910528182983, 0.3313361704349518, -0.5189862847328186, 0.5498822927474976, 0.7125961780548096, -0.43454277515411377, 0.47110551595687866, 0.27732276916503906, 0.059745483100414276, -0.0781136006116867, -0.4819294810295105, 0.5001482963562012, -0.22998744249343872, -0.2615234851837158, 0.1001785397529602, 0.2445037066936493, 0.5617520809173584, -0.2846234440803528, 0.21568593382835388, 0.357120156288147, 0.27427664399147034, -0.1070009171962738, 0.250434011220932, 0.3954838514328003, -0.2847161889076233, -0.37854108214378357, -0.4659115672111511, 0.23087869584560394, 0.46474945545196533, -0.80727219581604, -0.0921250507235527, 0.08370664715766907, 0.0676610916852951, 0.0660674050450325, 0.8467340469360352, -0.3602266013622284, 0.0862756073474884, 0.6316781044006348, 0.5783786773681641, -0.6983055472373962, 0.854712724685669, 0.18518191576004028, 0.5695075392723083, 0.40325021743774414, 0.04032804071903229, 0.28003090620040894, -0.6715985536575317, -0.21146193146705627, 0.14346614480018616, -0.16775624454021454, 0.1694837361574173, -0.2812971770763397, -0.4854297637939453, 0.7087479829788208, 0.02382456138730049, 0.6782694458961487, -0.09795700013637543, -0.0863121747970581, -0.46947020292282104, -0.336540549993515, 0.13398846983909607]"
Edinson Roberto Cavani Gomez,ST,89,32,75,76,80,78,89,92,78,"[1.762807011604309, 0.32872340083122253, 0.34440428018569946, -0.17016714811325073, 0.17747560143470764, -0.323668509721756, 0.25238877534866333, 0.05050100013613701, -0.15659870207309723, 0.186296284198761, -0.35556527972221375, 0.3177301287651062, 0.026010088622570038, 0.5077557563781738, -0.23492228984832764, -0.13515716791152954, 0.1270025372505188, 0.009290700778365135, 0.8552902340888977, 0.5015689134597778, 0.3090001344680786, -0.16182823479175568, -0.19369326531887054, 0.6098102331161499, 0.5666006207466125, -0.2607644498348236, 0.4990348815917969, -0.41401299834251404, 0.19809147715568542, 0.3221622109413147, 0.07358384132385254, -0.31189703941345215, 0.27560344338417053, -0.0547015480697155, 1.1272450685501099, 0.6801260113716125, 0.11166766285896301, -0.3216516673564911, 0.38812828063964844, 0.5135989189147949, 0.6136575937271118, -0.04465746507048607, -0.4104198217391968, 1.036058783531189, 0.6488614678382874, -0.5870463848114014, 0.3501994013786316, -0.2119169533252716, 0.8514025211334229, 0.06839866191148758, -0.6633141040802002, -0.35110726952552795, 0.17651909589767456, -0.049240536987781525, -0.09579448401927948, 0.12165043503046036, 0.7088101506233215, -0.03312999755144119, 0.7381829619407654, 0.055815067142248154, 0.36828532814979553, 0.48395371437072754, 0.43509939312934875, -0.40802592039108276]"
