full_name,age,positions,primary_position,acceleration,sprint_speed,dribbling,short_passing,finishing,stamina,strength,embedding
Lionel Andrés Messi Cuccittini,31,"CF,RW,ST",CF,91,86,97,92,95,72,66,"[0.11288201063871384, -0.25713369250297546, 0.018641479313373566, 0.6398158073425293, 0.31437450647354126, -0.6330787539482117, -0.20383292436599731, -0.8290541768074036, -0.28403016924858093, -0.890560507774353, 0.3407934606075287, -0.4016658365726471, 0.5288046598434448, -0.13182321190834045, -0.3742170035839081, -0.14935798943042755, -0.30417999625205994, -0.3394378423690796, -0.25552400946617126, -0.06688670814037323, 0.6531271934509277, -0.196426659822464, -0.2383655309677124, -0.3880400061607361, -0.7633820176124573, 0.3648489713668823, -0.17917321622371674, 0.11937215179204941, -0.8091139197349548, 0.25769513845443726, -0.39900094270706177, -0.7135729193687439, -0.06777136772871017, 0.5387700200080872, 0.8053416609764099, 0.7057632803916931, 0.10292039811611176, 0.7540756464004517, -0.5389842391014099, 0.6331725716590881, -0.04248862713575363, -0.6161191463470459, 0.2678651511669159, 0.433052122592926, 0.05561433359980583, 0.24880962073802948, 0.4052848517894745, -0.3296981453895569, 0.30674508213996887, -0.2562406659126282, 0.08045367151498795, 0.6344561576843262, -0.18871226906776428, -0.30967977643013, 0.013886730186641216, -0.6073742508888245, 0.33434751629829407, -0.23862682282924652, 0.1040717363357544, 0.4563046097755432, -0.43150609731674194, 0.11508380621671677, -0.20845749974250793, 0.010680912993848324]"
Christian  Dannemann Eriksen,27,"CAM,RM,CM",CAM,76,73,84,91,81,92,58,"[0.18124578893184662, -0.5069173574447632, 0.7332682013511658, 0.6192799210548401, 0.22534722089767456, -0.06314963102340698, -0.3276955783367157, -0.5516420006752014, -0.22379890084266663, -0.905705988407135, 0.29393377900123596, -0.6323990225791931, 0.6820801496505737, -0.1742684245109558, -0.09491478651762009, 0.01872248761355877, -0.5214279294013977, 0.051112618297338486, 0.2928978502750397, -0.19312533736228943, 0.8855538964271545, 0.625159502029419, -0.16045847535133362, -0.258135050535202, -1.227840781211853, -0.3075014054775238, -0.36890166997909546, 0.24684301018714905, -0.6064080595970154, 0.543439507484436, -0.4032899737358093, -0.6587520837783813, 0.016042327508330345, 0.07547476887702942, 0.6087127327919006, 0.6837578415870667, -0.46670058369636536, 0.3994297683238983, -0.4461601674556732, -0.4054589569568634, 0.3538777232170105, -0.5801839232444763, 0.05910399556159973, 0.047374267131090164, 0.09186828881502151, 0.34450775384902954, -0.044009335339069366, -0.07120902836322784, 0.09187193959951401, -0.03357591852545738, 0.3772406280040741, 0.2639119625091553, -0.04343421384692192, -0.3128260672092438, -0.2283448427915573, -0.1999453902244568, -0.1696801483631134, -0.19416792690753937, 0.017322389408946037, -0.005269855726510286, -0.2870563268661499, -0.3539179563522339, -0.13943898677825928, -0.2947804033756256]"
Paul Pogba,25,"CM,CAM",CM,71,79,87,86,75,88,87,"[0.5481106042861938, -0.0752224326133728, 0.550134539604187, -0.013952176086604595, 0.1240978091955185, -0.14147073030471802, -0.18528634309768677, 0.09237171709537506, -0.13910023868083954, -0.8689851760864258, 0.48618054389953613, -0.43071821331977844, 0.8068852424621582, -0.2806466519832611, 0.7440711855888367, -0.2371775060892105, 0.057786520570516586, 0.43069854378700256, 0.17218360304832458, 0.18911340832710266, 0.49040043354034424, 0.32983994483947754, 0.10144499689340591, -0.8691831827163696, -1.281638503074646, 0.07615505158901215, -0.08036013692617416, 0.02934151329100132, -0.3739576041698456, 0.983287513256073, -0.5796956419944763, -0.45086318254470825, 0.025761324912309647, -0.11998192965984344, 0.40231719613075256, 0.722728967666626, -0.36780083179473877, 0.020404081791639328, -0.2111457884311676, 0.15071143209934235, -0.29047882556915283, 0.08296535909175873, -0.06325919926166534, 0.19548460841178894, 0.11089569330215454, -0.3522545397281647, -0.14492514729499817, -0.2600340247154236, -0.26076170802116394, -0.4567680060863495, 0.16719266772270203, -0.03538388013839722, -0.21277467906475067, -0.20535250008106232, -0.5256108641624451, -0.42937570810317993, -0.09367449581623077, -0.20716850459575653, -0.5411752462387085, 0.4969768822193146, -0.4780818521976471, 0.6683052182197571, -0.11881088465452194, 0.07419206947088242]"
Lorenzo Insigne,27,"LW,ST",LW,94,86,90,85,77,75,44,"[0.06604041159152985, -0.2893301248550415, 0.07009461522102356, 0.42406174540519714, 0.026580194011330605, -0.05825457721948624, 0.2195717692375183, -1.2212748527526855, 0.1701909303665161, -0.3835492432117462, 0.39257362484931946, -0.33713090419769287, 0.0365721732378006, 0.03925960510969162, -0.4718029797077179, 0.5694252848625183, -0.7297654151916504, -0.27196386456489563, -0.15609227120876312, -0.37669554352760315, 0.5118101239204407, 0.6238080263137817, -0.1719113290309906, 0.4997965395450592, -0.5705791711807251, 0.42586833238601685, -0.442694753408432, 0.5689689517021179, -0.8417689800262451, 0.2769412398338318, -1.0336596965789795, -0.6498924493789673, -0.27974602580070496, 0.16356873512268066, 0.6095718741416931, 0.2844465672969818, 0.3596140742301941, 0.5988742709159851, -0.6267200708389282, 0.0849762111902237, -0.028114894405007362, -0.19771510362625122, -0.12013273686170578, 0.02439172938466072, -0.27874892950057983, -0.2893717586994171, 0.4112134277820587, -0.03823519125580788, 0.052807167172431946, 0.1510823667049408, 0.45307686924934387, 0.4994358718395233, 0.3493911921977997, -0.4210502803325653, 0.06062312424182892, -0.5174214839935303, -0.4342975318431854, -0.2926394045352936, 0.08630318939685822, 0.2372722327709198, -0.8327564001083374, -0.009851439855992794, 0.07314762473106384, -0.4019250273704529]"
Kalidou Koulibaly,27,CB,CB,70,75,69,68,22,75,94,"[0.5928393006324768, 0.3477761745452881, 0.49484217166900635, -0.15722301602363586, 0.19411247968673706, -0.7173388004302979, -0.2035834938287735, 0.20636790990829468, 0.2912246584892273, 0.5279544591903687, 0.230181485414505, -0.16893509030342102, 0.1559530347585678, -0.5699854493141174, 0.30073440074920654, 0.3451627194881439, -0.3181525766849518, -0.07190331071615219, -0.25765377283096313, 0.5335147976875305, 0.6667197346687317, 0.5358020067214966, -0.04724959656596184, -0.30014121532440186, -0.29710936546325684, 0.06100127473473549, 0.3010849356651306, 0.2686997652053833, -0.2678004801273346, -0.24473947286605835, 0.10825522989034653, -0.25711482763290405, 0.9510217905044556, 0.39447179436683655, -0.43005508184432983, 0.4683225452899933, 0.03931998461484909, -0.30854809284210205, -0.06071566045284271, 0.42399725317955017, 0.11452996730804443, 0.6015874743461609, -0.39101436734199524, -0.3828774690628052, 0.23286020755767822, -0.32570070028305054, 0.361007422208786, 0.09602111577987671, -0.5169066786766052, 0.27010229229927063, 0.21779361367225647, -0.18726305663585663, -0.2367125302553177, 0.08411362767219543, -0.22260887920856476, -0.47660696506500244, 0.22396153211593628, -0.7776970267295837, -0.7291271090507507, 0.37934568524360657, -0.9119899272918701, 0.7667866945266724, 0.23423947393894196, -0.13011020421981812]"
Virgil van Dijk,27,CB,CB,74,77,70,79,52,75,92,"[0.5480082035064697, 0.14073212444782257, 0.832094132900238, -0.20652712881565094, 0.22352583706378937, -0.11309543251991272, -0.7360126376152039, 0.24143117666244507, 0.4190126955509186, -0.392684668302536, 0.6366539001464844, -0.2803528904914856, 0.620879054069519, -0.39306744933128357, 0.37530115246772766, -0.047759100794792175, 0.22071582078933716, -0.24160297214984894, 0.13773268461227417, 0.615994393825531, 0.5071249604225159, 0.30894169211387634, 0.117909736931324, -0.7837417125701904, -0.9908056855201721, 0.09361758083105087, 0.25040438771247864, 0.07999006658792496, -0.1600072681903839, 0.37875768542289734, -0.17136114835739136, -0.1274271011352539, 0.7505537867546082, 0.3384992182254791, 0.331328421831131, 0.34949296712875366, -0.1857471615076065, -0.37439367175102234, -0.2694266438484192, 0.08209671080112457, -0.21244433522224426, 0.24332121014595032, -0.3617616891860962, -0.45169806480407715, 0.4103991687297821, -0.11919468641281128, 0.456553190946579, 0.10671962797641754, 0.04793543741106987, -0.15475037693977356, 0.14739561080932617, 0.0702492967247963, -0.6552860736846924, -0.45188844203948975, -0.5270829796791077, -0.42479991912841797, -0.12234774976968765, -0.29874566197395325, -0.5259976387023926, 0.3536868095397949, -0.7020015716552734, 0.7983455061912537, 0.25830134749412537, -0.08377710729837418]"
Kylian Mbappé,20,"RW,ST,RM",RW,96,96,90,82,88,83,71,"[0.347360759973526, -0.3199375867843628, 0.10356102138757706, -0.40905818343162537, 0.5104223489761353, -0.579647958278656, 0.08120141178369522, -0.749729335308075, -0.22312042117118835, -0.643216073513031, 0.7730284929275513, -0.18061327934265137, 0.2629163861274719, -0.038630411028862, -0.35599416494369507, 0.02627982571721077, -0.44094303250312805, -0.24480105936527252, 0.45190492272377014, -0.3379567861557007, 0.115651935338974, 0.39530515670776367, -0.5931353569030762, -0.07226750254631042, -1.7227095365524292, 0.02476276084780693, 0.35510799288749695, -0.2076749950647354, -0.4530293345451355, 0.34029656648635864, -0.20574437081813812, -0.2801627814769745, -0.5327444672584534, 0.09427841752767563, 0.7935635447502136, 0.5388038158416748, -0.353426456451416, 0.2063690423965454, 0.0802287682890892, 0.4237028956413269, 0.23346944153308868, -0.08192700147628784, 0.5093342065811157, 0.3130300045013428, 0.11404760181903839, -0.4853608310222626, -0.07141679525375366, 0.10808582603931427, -0.04595880210399628, 0.3150218725204468, 0.07740157842636108, 0.33898478746414185, 0.16833847761154175, -0.8447162508964539, -0.525383472442627, -0.3201642632484436, -0.33318403363227844, -0.2203487604856491, -0.18160757422447205, -0.005282068159431219, -0.7893348336219788, 0.6216129064559937, -0.21648791432380676, -0.04995174705982208]"
Sergio Leonel Agüero del Castillo,30,ST,ST,88,80,89,81,93,76,73,"[-0.09948074072599411, -0.34945279359817505, 0.15441718697547913, 0.5468722581863403, 0.33316755294799805, -0.4167037010192871, -0.05694674700498581, -0.760253369808197, -0.24711693823337555, -0.819208025932312, 0.34880685806274414, -0.22208279371261597, 0.6078494191169739, -0.15806657075881958, -0.26896223425865173, 0.049189452081918716, -0.047960903495550156, -0.24156427383422852, -0.12687432765960693, -0.08758670836687088, 0.7654235363006592, -0.2808176577091217, -0.1973678469657898, -0.6086195111274719, -0.8007404208183289, 0.37545520067214966, -0.01876773312687874, -0.1486080139875412, -0.865522563457489, 0.3076713979244232, -0.6046387553215027, -0.4178473949432373, 0.07691630721092224, 0.3068268597126007, 1.0199205875396729, 0.9223203063011169, 0.04876846820116043, 0.6543468832969666, -0.581384003162384, 0.4763966500759125, 0.20575426518917084, -0.5852190256118774, 0.23170903325080872, 0.4267682433128357, -0.11182396858930588, 0.1920919269323349, 0.27842265367507935, -0.3271139860153198, 0.2327651083469391, -0.13953478634357452, 0.29269105195999146, 0.4510260224342346, -0.243647962808609, -0.5752198100090027, -0.23392607271671295, -0.7238784432411194, 0.0970282033085823, -0.16880950331687927, 0.040257442742586136, 0.7708480954170227, -0.24698464572429657, 0.19701212644577026, -0.14704616367816925, -0.003529219189658761]"
Manuel Neuer,32,GK,GK,54,60,30,55,13,43,80,"[1.0929362773895264, 0.20149920880794525, -0.004890040028840303, -0.35059282183647156, 0.726141095161438, -0.2771959602832794, 0.025210272520780563, -0.19300824403762817, -0.389074444770813, 0.7654266357421875, -0.16610516607761383, -0.3158468008041382, -0.4282069206237793, -0.3564489185810089, 0.2736526131629944, -0.49803388118743896, -0.6453359723091125, -0.33185508847236633, -0.6528405547142029, 0.04751880466938019, 0.5640018582344055, 0.7137841582298279, -0.7018283009529114, 0.12000591307878494, 0.2133065015077591, -0.2367934286594391, -0.12976405024528503, -0.2051374316215515, -0.5169432163238525, 0.5005063414573669, -0.829831600189209, 0.10462868213653564, 0.40200144052505493, -0.38380560278892517, 0.7565814256668091, 0.32825884222984314, -0.19738800823688507, -0.13286399841308594, -0.21737119555473328, 0.13007092475891113, 0.1660703718662262, 0.5857371687889099, 0.15201298892498016, 0.7771349549293518, 0.8792306184768677, 0.25675690174102783, -0.5385898947715759, 0.14148880541324615, -0.5856758952140808, 0.039529647678136826, -0.16784147918224335, 0.6209138035774231, -0.22568245232105255, -0.26398971676826477, 0.511573076248169, -0.07524867355823517, 0.464851975440979, -0.5981574654579163, -0.6655150055885315, 0.5556209087371826, -0.5404000878334045, -0.28904640674591064, -0.03198254480957985, -0.4218215048313141]"
Edinson Roberto Cavani Gómez,32,ST,ST,75,76,80,78,89,92,78,"[-0.3049697279930115, 0.15809954702854156, 0.3676871359348297, -0.1283216029405594, -0.023005105555057526, -0.1795208901166916, 0.18403877317905426, -0.41411295533180237, -0.18891796469688416, -0.4450908899307251, 0.17869354784488678, -0.5852326154708862, 0.5102611780166626, 0.16398803889751434, -0.17078247666358948, 0.055273570120334625, -0.19195623695850372, 0.1239197850227356, 0.39410972595214844, 0.17924553155899048, 1.005751132965088, 0.24550257623195648, -0.20577557384967804, -0.9605605006217957, -0.5594860315322876, 0.12605451047420502, -0.2876579463481903, -0.09356269240379333, -0.7144239544868469, 0.5875164866447449, -0.5422201156616211, -0.4197188913822174, 0.4963657259941101, 0.42496517300605774, 0.11885544657707214, 0.8105739951133728, -0.25475364923477173, -0.23599252104759216, -0.478726863861084, 0.47414305806159973, 0.14051854610443115, -0.48532795906066895, 0.1625964343547821, 0.7356345057487488, 0.15204915404319763, -0.03479371592402458, 0.38108766078948975, -0.12270164489746094, -0.010126431472599506, -0.6642282605171204, 0.7436306476593018, -0.0063811736181378365, -1.015681505203247, -0.35472553968429565, -0.8013526201248169, -0.528145968914032, -0.06090201810002327, -0.058272141963243484, 0.005265374202281237, 0.47924256324768066, -0.1977269947528839, 0.2857505679130554, 0.1883823424577713, -0.04806026071310043]"
